pl_hostname,pl_letter,con
1RXS J160929.1-210524,b,SCO
GJ 667 C,b,SCO
GJ 667 C,c,SCO
GJ 667 C,e,SCO
GJ 667 C,f,SCO
GJ 667 C,g,SCO
GSC 06214-00210,b,SCO
HD 145377,b,SCO
HD 147513,b,SCO
HD 147873,b,SCO
HD 147873,c,SCO
HD 153950,b,SCO
HD 159868,b,SCO
HD 159868,c,SCO
HD 162020,b,SCO
HIP 78530,b,SCO
HIP 79431,b,SCO
K2-24,b,SCO
K2-24,c,SCO
K2-31,b,SCO
K2-33,b,SCO
K2-37,b,SCO
K2-37,c,SCO
K2-37,d,SCO
K2-38,b,SCO
K2-38,c,SCO
K2-52,b,SCO
K2-53,b,SCO
MOA-2008-BLG-310L,b,SCO
MOA-2009-BLG-266L,b,SCO
MOA-2009-BLG-387L,b,SCO
MOA-2010-BLG-328L,b,SCO
MOA-2012-BLG-505L,b,SCO
OGLE-2005-BLG-071L,b,SCO
OGLE-2005-BLG-390L,b,SCO
OGLE-2006-BLG-109L,b,SCO
OGLE-2006-BLG-109L,c,SCO
OGLE-2007-BLG-368L,b,SCO
OGLE-2008-BLG-092L,b,SCO
OGLE-2012-BLG-0406L,b,SCO
OGLE-2013-BLG-0102L,b,SCO
OGLE-2013-BLG-1721L,b,SCO
OGLE-2014-BLG-0676L,b,SCO
OGLE-2016-BLG-1195L,b,SCO
Oph 11,b,SCO
PSR B1620-26,b,SCO
ROXs 12,b,SCO
USco CTIO 108,b,SCO
WASP-17,b,SCO
